customer_id,signup_date,acquisition_channel,age_group,city
143,5/21/2025,Organic,25-34,Aswan
144,12/6/2024,Paid Search,35-44,Giza
145,5/6/2024,Paid Search,35-44,Cairo
146,2/12/2025,Paid Search,35-44,Cairo
147,1/1/2025,Social,18-24,Alexandria
148,9/27/2024,Organic,35-44,Cairo
149,10/5/2025,Paid Search,18-24,Tanta
150,8/27/2025,Paid Search,35-44,Aswan
151,1/13/2025,Referral,35-44,Cairo
152,3/13/2024,Paid Search,25-34,Giza
153,9/4/2024,Paid Search,45-54,Cairo
154,2/12/2024,Organic,18-24,Alexandria
155,1/11/2025,Referral,45-54,Giza
156,2/10/2024,Paid Search,25-34,Cairo
157,6/18/2024,Social,25-34,Cairo
158,7/30/2024,Email,18-24,Alexandria
159,5/7/2025,Paid Search,55+,Giza
160,2/8/2024,Social,18-24,Cairo
161,1/3/2025,Organic,25-34,Mansoura
162,5/30/2024,Social,25-34,Alexandria
163,4/20/2024,Social,35-44,Tanta
164,4/24/2025,Organic,35-44,Cairo
165,3/11/2025,Paid Search,18-24,Mansoura
166,2/16/2024,Email,25-34,Alexandria
167,7/28/2025,Organic,25-34,Cairo
168,12/31/2024,Paid Search,25-34,Mansoura
169,3/9/2024,Paid Search,25-34,Giza
170,10/25/2024,Social,35-44,Aswan
171,10/22/2024,Social,25-34,Cairo
172,7/21/2024,Paid Search,25-34,Alexandria
173,3/1/2024,Organic,25-34,Giza
174,11/9/2024,Paid Search,55+,Aswan
175,6/9/2024,Social,55+,Giza
176,11/26/2024,Paid Search,45-54,Aswan
177,6/11/2025,Social,25-34,Aswan
178,12/3/2024,Organic,18-24,Cairo
179,8/28/2025,Referral,25-34,Tanta
180,10/30/2024,Paid Search,25-34,Aswan
181,5/17/2025,Organic,35-44,Cairo
182,10/11/2025,Paid Search,45-54,Giza
183,12/3/2024,Referral,45-54,Alexandria
184,7/3/2025,Referral,45-54,Cairo
185,9/30/2025,Paid Search,25-34,Cairo
186,10/1/2024,Social,35-44,Cairo
187,6/12/2024,Email,25-34,Cairo
188,3/18/2025,Social,18-24,Giza
189,11/14/2024,Organic,35-44,Cairo
190,8/11/2025,Paid Search,18-24,Tanta
191,5/18/2025,Paid Search,25-34,Mansoura
192,1/21/2025,Referral,25-34,Cairo
193,8/25/2025,Referral,35-44,Alexandria
194,5/8/2025,Social,45-54,Alexandria
195,5/4/2025,Organic,25-34,Aswan
196,3/13/2024,Organic,45-54,Cairo
197,5/23/2025,Social,25-34,Cairo
198,1/24/2025,Referral,25-34,Aswan
199,9/10/2025,Referral,35-44,Aswan
200,10/21/2024,Email,35-44,Mansoura
201,1/3/2025,Social,55+,Mansoura
202,7/2/2025,Paid Search,25-34,Cairo
203,10/10/2025,Paid Search,35-44,Alexandria
204,7/21/2025,Referral,35-44,Cairo
205,7/5/2024,Social,55+,Cairo
206,3/20/2025,Paid Search,25-34,Tanta
207,7/23/2025,Paid Search,45-54,Cairo
208,12/28/2024,Social,35-44,Giza
209,5/2/2024,Paid Search,25-34,Aswan
210,7/6/2024,Paid Search,35-44,Cairo
211,2/23/2025,Social,25-34,Aswan
212,9/17/2025,Social,35-44,Aswan
213,9/8/2024,Social,45-54,Alexandria
214,9/10/2025,Paid Search,35-44,Cairo
215,7/2/2025,Social,35-44,Giza
216,11/30/2024,Paid Search,35-44,Giza
217,4/1/2024,Organic,18-24,Giza
218,6/13/2025,Email,25-34,Cairo
219,3/3/2024,Social,35-44,Aswan
220,10/23/2025,Email,25-34,Cairo
221,5/26/2025,Social,25-34,Mansoura
222,5/18/2024,Social,35-44,Cairo
223,7/3/2024,Paid Search,25-34,Alexandria
224,7/23/2024,Organic,25-34,Aswan
225,8/1/2024,Paid Search,25-34,Cairo
226,9/12/2024,Paid Search,18-24,Cairo
227,5/14/2024,Referral,55+,Alexandria
228,7/26/2025,Organic,45-54,Mansoura
229,3/28/2024,Referral,35-44,Mansoura
230,7/25/2024,Social,18-24,Giza
231,5/8/2024,Email,45-54,Cairo
232,1/3/2024,Organic,45-54,Aswan
233,4/30/2024,Social,45-54,Aswan
234,1/19/2025,Organic,18-24,Giza
235,9/5/2025,Paid Search,35-44,Tanta
236,2/7/2024,Social,45-54,Giza
237,12/6/2024,Paid Search,35-44,Giza
238,10/6/2025,Paid Search,35-44,Cairo
239,1/21/2024,Social,25-34,Giza
240,8/29/2024,Paid Search,35-44,Alexandria
241,3/30/2025,Referral,18-24,Cairo
242,9/12/2025,Referral,35-44,Giza
243,10/29/2024,Referral,18-24,Mansoura
244,8/18/2025,Organic,25-34,Mansoura
245,8/17/2025,Paid Search,25-34,Alexandria
246,3/9/2024,Referral,35-44,Aswan
247,5/8/2024,Organic,18-24,Cairo
248,7/14/2024,Referral,35-44,Alexandria
249,5/19/2024,Referral,45-54,Mansoura
250,3/19/2025,Email,25-34,Alexandria
251,10/9/2024,Paid Search,18-24,Giza
252,11/7/2024,Organic,18-24,Cairo
253,6/18/2025,Email,45-54,Tanta
254,10/26/2025,Paid Search,35-44,Giza
255,10/3/2024,Paid Search,25-34,Tanta
256,3/1/2024,Social,18-24,Alexandria
257,11/14/2024,Referral,35-44,Alexandria
258,2/21/2024,Social,45-54,Tanta
259,6/1/2024,Social,45-54,Alexandria
260,11/6/2024,Paid Search,35-44,Giza
261,6/27/2025,Social,18-24,Alexandria
262,7/20/2025,Referral,18-24,Tanta
263,1/23/2025,Paid Search,18-24,Giza
264,7/1/2025,Organic,25-34,Giza
265,9/13/2025,Referral,18-24,Cairo
266,6/25/2024,Email,25-34,Aswan
267,12/27/2024,Social,25-34,Cairo
268,11/9/2024,Social,55+,Alexandria
269,4/6/2024,Organic,35-44,Giza
270,7/31/2024,Paid Search,45-54,Giza
271,5/16/2024,Email,35-44,Alexandria
272,1/6/2024,Email,18-24,Cairo
273,4/18/2024,Referral,35-44,Alexandria
274,6/30/2025,Referral,25-34,Mansoura
275,2/8/2024,Organic,35-44,Tanta
276,10/23/2025,Organic,25-34,Cairo
277,2/28/2025,Email,55+,Tanta
278,9/21/2025,Social,25-34,Alexandria
279,9/17/2024,Social,25-34,Tanta
280,3/1/2025,Email,55+,Giza
281,3/27/2024,Referral,18-24,Alexandria
282,4/9/2025,Organic,35-44,Aswan
283,3/16/2024,Organic,35-44,Tanta
284,4/15/2025,Paid Search,45-54,Giza
285,2/17/2025,Social,55+,Cairo
286,4/1/2025,Paid Search,55+,Giza
287,10/11/2024,Organic,18-24,Giza
288,8/26/2024,Social,45-54,Cairo
289,8/21/2025,Paid Search,35-44,Cairo
290,10/14/2025,Social,35-44,Tanta
291,7/11/2025,Paid Search,18-24,Cairo
292,1/6/2025,Paid Search,35-44,Alexandria
293,5/9/2025,Email,55+,Cairo
294,9/15/2025,Organic,55+,Giza
295,2/14/2024,Paid Search,25-34,Cairo
296,2/4/2025,Organic,18-24,Cairo
297,9/3/2024,Email,25-34,Mansoura
298,9/7/2025,Paid Search,45-54,Tanta
299,8/19/2025,Social,35-44,Cairo
300,3/25/2025,Paid Search,25-34,Giza
301,4/29/2025,Paid Search,18-24,Giza
302,10/7/2025,Organic,25-34,Tanta
303,9/11/2025,Social,25-34,Mansoura
304,1/18/2024,Social,55+,Alexandria
305,8/28/2025,Social,35-44,Alexandria
306,10/23/2025,Referral,25-34,Tanta
307,10/15/2024,Organic,35-44,Cairo
308,2/17/2025,Organic,18-24,Giza
309,9/29/2025,Email,55+,Aswan
310,8/22/2024,Paid Search,25-34,Mansoura
311,2/19/2025,Organic,35-44,Alexandria
312,5/13/2025,Paid Search,25-34,Alexandria
313,9/25/2025,Paid Search,35-44,Giza
314,10/11/2025,Referral,35-44,Alexandria
315,4/24/2024,Email,35-44,Alexandria
316,8/21/2024,Social,25-34,Giza
317,6/23/2025,Organic,25-34,Mansoura
318,1/11/2024,Paid Search,18-24,Tanta
319,7/24/2024,Paid Search,35-44,Cairo
320,9/3/2024,Paid Search,18-24,Giza
321,7/12/2025,Social,35-44,Giza
322,5/6/2024,Social,45-54,Mansoura
323,5/26/2024,Social,45-54,Cairo
324,4/27/2024,Paid Search,25-34,Alexandria
325,1/16/2025,Referral,25-34,Tanta
326,2/15/2025,Social,18-24,Giza
327,10/25/2025,Social,35-44,Aswan
328,8/6/2025,Social,45-54,Aswan
329,12/28/2024,Organic,25-34,Cairo
330,5/23/2025,Paid Search,25-34,Cairo
331,5/16/2024,Organic,45-54,Aswan
332,6/23/2024,Email,45-54,Aswan
333,10/15/2024,Paid Search,25-34,Cairo
334,4/25/2025,Paid Search,35-44,Cairo
335,1/19/2024,Paid Search,25-34,Cairo
336,7/13/2024,Paid Search,18-24,Aswan
337,11/25/2024,Email,55+,Cairo
338,6/23/2024,Social,45-54,Alexandria
339,3/24/2025,Organic,45-54,Tanta
340,12/19/2024,Paid Search,18-24,Cairo
341,5/13/2025,Organic,45-54,Alexandria
342,5/20/2024,Organic,25-34,Cairo
343,4/2/2024,Paid Search,25-34,Tanta
344,8/26/2024,Organic,35-44,Cairo
345,7/23/2024,Organic,18-24,Mansoura
346,7/13/2025,Social,45-54,Alexandria
347,3/8/2025,Social,35-44,Cairo
348,9/1/2024,Paid Search,25-34,Cairo
349,11/12/2024,Organic,25-34,Giza
350,10/21/2024,Social,25-34,Cairo
351,10/1/2025,Organic,18-24,Tanta
352,10/8/2024,Email,35-44,Tanta
353,1/17/2024,Social,45-54,Giza
354,3/11/2024,Paid Search,18-24,Alexandria
355,9/25/2024,Paid Search,18-24,Alexandria
356,11/20/2024,Social,35-44,Tanta
357,10/31/2024,Paid Search,45-54,Giza
358,3/26/2025,Social,25-34,Cairo
359,1/7/2024,Referral,25-34,Cairo
360,11/9/2024,Social,35-44,Alexandria
361,4/12/2024,Organic,25-34,Giza
362,7/11/2024,Social,18-24,Giza
363,7/27/2025,Organic,35-44,Cairo
364,6/12/2025,Social,35-44,Mansoura
365,6/19/2024,Referral,35-44,Cairo
366,6/20/2025,Organic,45-54,Cairo
367,9/7/2024,Referral,35-44,Giza
368,1/21/2025,Referral,25-34,Cairo
369,7/25/2024,Paid Search,25-34,Alexandria
370,6/24/2025,Paid Search,18-24,Giza
371,9/20/2025,Paid Search,18-24,Giza
372,2/19/2025,Paid Search,35-44,Alexandria
373,1/14/2025,Paid Search,45-54,Cairo
374,5/23/2024,Social,55+,Cairo
375,1/25/2024,Paid Search,35-44,Tanta
376,10/29/2025,Paid Search,25-34,Giza
377,3/13/2024,Email,18-24,Giza
378,9/23/2025,Paid Search,45-54,Cairo
379,4/2/2024,Email,35-44,Giza
380,5/19/2025,Paid Search,35-44,Alexandria
381,8/20/2025,Paid Search,45-54,Alexandria
382,12/1/2024,Social,35-44,Mansoura
383,2/28/2025,Social,45-54,Cairo
384,5/13/2025,Referral,18-24,Cairo
385,12/29/2024,Social,45-54,Tanta
386,9/21/2025,Email,45-54,Aswan
387,7/17/2024,Paid Search,25-34,Cairo
388,2/16/2025,Paid Search,35-44,Giza
389,12/4/2024,Email,25-34,Cairo
390,10/20/2025,Email,55+,Cairo
391,3/4/2025,Referral,18-24,Giza
392,5/18/2024,Organic,35-44,Cairo
393,6/25/2025,Organic,25-34,Mansoura
394,2/26/2024,Email,35-44,Alexandria
395,8/19/2024,Organic,25-34,Cairo
396,10/19/2025,Referral,25-34,Cairo
397,3/10/2025,Email,35-44,Tanta
398,1/18/2025,Organic,55+,Cairo
399,7/13/2025,Email,25-34,Alexandria
400,7/12/2024,Email,18-24,Giza
401,10/9/2025,Paid Search,45-54,Alexandria
402,6/17/2025,Referral,35-44,Giza
403,6/1/2025,Organic,55+,Cairo
404,7/3/2024,Email,18-24,Cairo
405,10/18/2024,Organic,35-44,Cairo
406,11/30/2024,Referral,25-34,Giza
407,4/25/2024,Organic,25-34,Alexandria
408,2/18/2024,Paid Search,35-44,Cairo
409,3/22/2024,Referral,35-44,Cairo
410,11/28/2024,Paid Search,45-54,Alexandria
411,7/10/2025,Paid Search,25-34,Alexandria
412,11/30/2024,Referral,25-34,Aswan
413,6/15/2025,Referral,25-34,Alexandria
414,8/8/2024,Social,55+,Giza
415,9/26/2025,Social,25-34,Alexandria
416,11/18/2024,Organic,25-34,Aswan
417,1/3/2024,Paid Search,25-34,Tanta
418,7/24/2024,Organic,35-44,Giza
419,2/9/2024,Social,25-34,Cairo
420,2/28/2024,Email,55+,Cairo
421,7/27/2025,Email,25-34,Alexandria
422,10/5/2025,Email,45-54,Mansoura
423,5/21/2025,Paid Search,18-24,Alexandria
424,7/25/2025,Organic,35-44,Cairo
425,5/1/2024,Paid Search,55+,Mansoura
426,4/23/2025,Social,25-34,Tanta
427,9/10/2025,Organic,55+,Cairo
428,4/5/2024,Referral,25-34,Alexandria
429,2/17/2025,Organic,55+,Giza
430,8/22/2024,Paid Search,35-44,Tanta
431,3/2/2024,Paid Search,25-34,Tanta
432,9/12/2024,Email,25-34,Alexandria
433,7/14/2025,Social,25-34,Mansoura
434,12/13/2024,Paid Search,18-24,Tanta
435,5/3/2024,Paid Search,18-24,Giza
436,4/26/2025,Social,18-24,Giza
437,11/12/2024,Paid Search,25-34,Mansoura
438,5/18/2025,Email,45-54,Cairo
439,2/17/2024,Social,18-24,Giza
440,2/12/2025,Paid Search,18-24,Tanta
441,5/15/2024,Paid Search,35-44,Mansoura
442,7/19/2024,Referral,25-34,Giza
443,9/6/2024,Organic,18-24,Cairo
444,11/9/2024,Organic,25-34,Giza
445,1/2/2025,Email,55+,Cairo
446,3/4/2025,Referral,45-54,Cairo
447,4/24/2025,Referral,25-34,Mansoura
448,11/9/2024,Email,35-44,Cairo
449,5/14/2025,Organic,35-44,Giza
450,12/20/2024,Paid Search,35-44,Giza
451,4/29/2025,Email,35-44,Aswan
452,7/29/2024,Social,35-44,Giza
453,2/13/2024,Organic,25-34,Cairo
454,6/24/2025,Referral,18-24,Cairo
455,7/24/2025,Paid Search,25-34,Alexandria
456,8/5/2025,Organic,45-54,Alexandria
457,4/1/2024,Paid Search,35-44,Giza
458,9/21/2024,Organic,45-54,Giza
459,8/7/2024,Paid Search,55+,Cairo
460,3/17/2025,Paid Search,25-34,Alexandria
461,2/4/2025,Paid Search,35-44,Alexandria
462,2/3/2025,Social,35-44,Cairo
463,7/29/2025,Email,55+,Cairo
464,5/4/2025,Social,55+,Cairo
465,4/29/2025,Referral,35-44,Cairo
466,4/14/2025,Organic,25-34,Alexandria
467,7/27/2025,Paid Search,45-54,Cairo
468,3/20/2025,Referral,18-24,Cairo
469,9/25/2024,Paid Search,45-54,Cairo
470,9/23/2024,Referral,55+,Aswan
471,2/23/2024,Paid Search,25-34,Tanta
472,6/11/2025,Referral,35-44,Cairo
473,6/3/2025,Paid Search,25-34,Giza
474,9/7/2025,Referral,25-34,Cairo
475,2/28/2024,Organic,25-34,Giza
476,2/9/2024,Referral,45-54,Cairo
477,8/24/2024,Paid Search,55+,Alexandria
478,1/20/2025,Social,55+,Alexandria
479,8/28/2025,Referral,25-34,Tanta
480,10/11/2025,Organic,45-54,Cairo
481,10/26/2024,Social,35-44,Tanta
482,1/29/2025,Social,25-34,Mansoura
483,7/25/2024,Organic,18-24,Cairo
484,12/1/2024,Social,25-34,Giza
485,8/15/2025,Social,55+,Cairo
486,5/28/2025,Referral,35-44,Cairo
487,6/26/2024,Paid Search,35-44,Cairo
488,1/30/2025,Paid Search,25-34,Alexandria
489,1/5/2025,Referral,35-44,Giza
490,10/19/2025,Referral,18-24,Aswan
491,11/13/2024,Organic,25-34,Cairo
492,1/3/2025,Social,35-44,Aswan
493,1/18/2025,Paid Search,18-24,Cairo
494,3/2/2024,Paid Search,45-54,Mansoura
495,5/19/2025,Organic,25-34,Giza
496,8/26/2024,Organic,35-44,Cairo
497,7/13/2024,Social,25-34,Tanta
498,8/9/2024,Paid Search,35-44,Giza
499,3/1/2024,Referral,18-24,Alexandria
500,5/8/2024,Referral,18-24,Alexandria
501,6/4/2024,Social,55+,Giza
502,1/12/2025,Organic,25-34,Giza
503,9/13/2025,Paid Search,45-54,Mansoura
504,8/8/2025,Email,55+,Cairo
505,3/12/2025,Social,25-34,Alexandria
506,7/25/2024,Paid Search,25-34,Tanta
507,1/22/2025,Referral,35-44,Cairo
508,4/24/2025,Email,55+,Cairo
509,12/5/2024,Referral,55+,Mansoura
510,12/5/2024,Social,35-44,Giza
511,7/22/2024,Social,45-54,Giza
512,6/9/2024,Organic,18-24,Cairo
513,6/23/2025,Referral,55+,Alexandria
514,1/26/2025,Referral,55+,Cairo
515,7/28/2025,Paid Search,25-34,Giza
516,6/17/2025,Paid Search,25-34,Mansoura
517,3/10/2024,Organic,18-24,Cairo
518,2/8/2025,Email,25-34,Giza
519,8/30/2025,Referral,45-54,Aswan
520,8/13/2025,Paid Search,25-34,Mansoura
521,5/31/2025,Social,18-24,Tanta
522,4/29/2024,Organic,25-34,Giza
523,8/4/2024,Referral,55+,Mansoura
524,2/25/2024,Email,35-44,Cairo
525,12/31/2024,Email,25-34,Cairo
526,5/18/2025,Organic,25-34,Cairo
527,3/30/2025,Organic,55+,Giza
528,4/13/2024,Paid Search,45-54,Tanta
529,3/17/2024,Paid Search,25-34,Giza
530,8/17/2024,Referral,18-24,Alexandria
531,9/14/2024,Email,18-24,Mansoura
532,9/20/2024,Referral,18-24,Alexandria
533,11/26/2024,Referral,35-44,Giza
534,6/30/2024,Social,55+,Alexandria
535,7/3/2025,Email,35-44,Giza
536,1/27/2024,Referral,45-54,Cairo
537,10/2/2024,Email,25-34,Aswan
538,10/13/2025,Paid Search,35-44,Cairo
539,10/25/2024,Organic,35-44,Cairo
540,3/31/2024,Paid Search,25-34,Tanta
541,4/24/2025,Referral,25-34,Giza
542,7/26/2025,Social,35-44,Alexandria
543,4/2/2025,Paid Search,18-24,Giza
544,3/26/2025,Social,25-34,Giza
545,12/30/2024,Social,35-44,Cairo
546,12/16/2024,Organic,55+,Giza
547,10/16/2025,Paid Search,35-44,Giza
548,2/3/2025,Social,45-54,Mansoura
549,9/9/2024,Organic,25-34,Alexandria
550,4/3/2025,Email,45-54,Aswan
551,5/13/2025,Organic,35-44,Cairo
552,5/22/2025,Email,45-54,Alexandria
553,10/30/2024,Social,25-34,Alexandria
554,5/15/2025,Social,35-44,Aswan
555,8/20/2025,Referral,35-44,Cairo
556,6/14/2024,Organic,25-34,Alexandria
557,2/18/2025,Paid Search,18-24,Tanta
558,4/6/2025,Paid Search,18-24,Cairo
559,4/23/2024,Email,18-24,Tanta
560,3/8/2025,Social,45-54,Cairo
561,12/21/2024,Social,25-34,Mansoura
562,7/25/2024,Paid Search,25-34,Aswan
563,8/22/2024,Paid Search,35-44,Alexandria
564,3/17/2025,Paid Search,25-34,Giza
565,12/20/2024,Organic,35-44,Cairo
566,5/29/2025,Social,25-34,Aswan
567,7/26/2024,Organic,55+,Giza
568,5/4/2024,Organic,45-54,Cairo
569,5/17/2024,Referral,45-54,Mansoura
570,12/4/2024,Organic,25-34,Giza
571,6/20/2025,Organic,45-54,Cairo
572,3/8/2024,Email,18-24,Cairo
573,7/26/2025,Organic,18-24,Cairo
574,6/24/2025,Social,18-24,Alexandria
575,1/17/2025,Referral,35-44,Alexandria
576,1/19/2024,Referral,25-34,Alexandria
577,3/25/2025,Paid Search,35-44,Tanta
578,3/14/2024,Referral,18-24,Tanta
579,7/26/2025,Organic,25-34,Alexandria
580,10/26/2025,Paid Search,35-44,Cairo
581,10/2/2024,Organic,25-34,Mansoura
582,2/17/2024,Referral,35-44,Giza
583,7/29/2024,Organic,25-34,Alexandria
584,10/12/2025,Organic,45-54,Alexandria
585,9/13/2025,Social,35-44,Giza
586,6/23/2025,Paid Search,25-34,Aswan
587,7/9/2024,Paid Search,25-34,Cairo
588,11/10/2024,Paid Search,35-44,Alexandria
589,7/16/2025,Paid Search,45-54,Cairo
590,10/22/2025,Paid Search,25-34,Aswan
591,7/15/2025,Paid Search,25-34,Cairo
592,4/22/2024,Social,45-54,Cairo
593,6/18/2024,Paid Search,35-44,Giza
594,4/12/2025,Organic,25-34,Giza
595,1/14/2024,Referral,35-44,Cairo
596,10/14/2024,Organic,25-34,Alexandria
597,7/7/2024,Social,35-44,Giza
598,6/3/2024,Paid Search,25-34,Cairo
599,7/20/2025,Paid Search,55+,Giza
600,4/15/2025,Paid Search,35-44,Tanta
601,3/15/2024,Paid Search,35-44,Mansoura
602,10/3/2024,Paid Search,35-44,Mansoura
603,10/6/2025,Paid Search,55+,Mansoura
604,12/8/2024,Paid Search,45-54,Giza
605,2/28/2025,Paid Search,25-34,Cairo
606,7/24/2025,Organic,35-44,Cairo
607,5/25/2025,Paid Search,35-44,Tanta
608,6/30/2024,Organic,35-44,Aswan
609,4/2/2025,Organic,25-34,Giza
610,3/4/2024,Social,25-34,Cairo
611,9/16/2024,Paid Search,25-34,Cairo
612,7/11/2024,Email,55+,Giza
613,10/16/2025,Social,25-34,Alexandria
614,9/7/2025,Paid Search,55+,Cairo
615,2/9/2025,Referral,35-44,Aswan
616,4/2/2024,Referral,35-44,Giza
617,3/5/2025,Paid Search,35-44,Aswan
618,10/15/2025,Paid Search,18-24,Mansoura
619,3/9/2025,Email,25-34,Mansoura
620,2/7/2025,Email,18-24,Alexandria
621,3/9/2025,Paid Search,35-44,Alexandria
622,4/21/2024,Paid Search,25-34,Alexandria
623,1/9/2025,Organic,45-54,Alexandria
624,2/28/2024,Organic,25-34,Alexandria
625,2/12/2024,Social,25-34,Aswan
